ID	TRAIT	CHR	POS	P_WGS	BETA_WGS	AC_WGS	AF_WGS	N_WGS	P_WES_FE	BETA_WES_FE	TOP_EXON	N_IMP	GENOCNT_IMP	MAF_IMP	P_IMP	BETA_IMP	TYPE	DR2_IMP	AF_IMP_CALLSET	maxR2	EXON_R2_BATCH1	EXON_R2_BATCH2	exon_r2_ave	imp_r2_higher	combined_p
CNV_chr2_95897099_95898172	ln_P_adipon_combined	2	95897099	0.0005759	-0.3066	125	0.0364006988934	3434	NA	NA	NA	10276	9801/475/0	0.01827	0.7293	-0.02506	<DEL>	0.53	0.0174	0.343	NA	NA	NA	TRUE	0.00368563754583078
CNV_chr4_73399922_73404147	ln_P_adipon_combined	4	73399922	0.0001415	-0.3606	107	0.0311589982528	3434	NA	NA	NA	10276	9903/370/3	0.01787	0.01791	0.1461	<DEL>	0.73	0.0179	0.973	NA	NA	NA	TRUE	3.51898075800346e-05
CNV_chr7_150603901_150609736	ln_P_adipon_combined	7	150603901	8.714e-05	0.1022	1912	0.556785090274	3434	NA	NA	NA	10276	4484/4641/1151	0.33776	0.002901	-0.04561	<DEL>	1	0.3359	0.998	NA	NA	NA	TRUE	4.09289645368762e-06
CNV_chr12_52467305_52468604	ln_P_adipon_combined	12	52467305	0.0005579	0.7561	21	0.00611531741409	3434	0.342798	-0.00613063	12:52863162-52863262	10276	10219/57/0	0.00297	0.1023	0.2357	<DEL>	0.79	0.0029	0.568	0.121	0.179	0.15	TRUE	0.000614745183440149
CNV_chr1_34635773_34646317	ln_Vitamin_D_combined	1	34635773	0.0006679	-0.2311	258	0.383358098068	673	NA	NA	NA	2812	1784/897/131	0.20682	0.3883	0.0285	<DEL>	1	0.2101	0.996	NA	NA	NA	TRUE	0.00240085248900738
CNV_chr7_68249_70312	ln_Vitamin_D_combined	7	68249	0.0008253	-0.5523	38	0.0564635958395	673	NA	NA	NA	2812	2792/20/0	0.00368	0.4276	0.2373	<DUP>	0.6	0.0057	0.582	NA	NA	NA	TRUE	0.00315820341160358
CNV_chr14_99037798_99038943	ln_Vitamin_D_combined	14	99037798	0.0001783	0.3195	135	0.20059435364	673	NA	NA	NA	2812	2180/588/44	0.12001	0.326	-0.04063	<DEL>	0.99	0.1173	0.984	NA	NA	NA	TRUE	0.000625020968918299
CNV_chr1_34635773_34646317	Gp_combined	1	34635773	0.0009866	-0.1045	1183	0.376871615164	3139	NA	NA	NA	7778	4871/2533/374	0.21143	0.2325	0.02307	<DEL>	1	0.2101	0.996	NA	NA	NA	TRUE	0.00215165205404427
CNV_chr2_97623715_97624765	Gp_combined	2	97623715	0.0004978	0.0909	1536	0.489327811405	3139	NA	NA	NA	7778	2226/3869/1683	0.46405	0.7106	0.006126	<DEL>	0.99	0.4661	0.417	NA	NA	NA	TRUE	0.00316486713533454
CNV_chr4_146808889_146809960	Gp_combined	4	146808889	0.0004106	0.1711	477	0.151959222682	3139	NA	NA	NA	7778	6572/1158/48	0.07613	0.8801	0.004789	<DEL>	0.94	0.0759	0.991	NA	NA	NA	TRUE	0.00322543958290843
CNV_chr10_54923028_54924627	Gp_combined	10	54923028	0.0009938	-0.09195	1581	0.50366358713	3139	NA	NA	NA	7778	3828/3242/708	0.29959	0.6016	-0.008998	<DEL>	1	0.2929	0.995	NA	NA	NA	TRUE	0.00503534377286515
CNV_chr12_111538452_111542112	Gp_combined	12	111538452	0.0004067	0.1544	560	0.178400764575	3139	NA	NA	NA	7778	6367/1342/69	0.09501	0.3334	-0.02838	<DEL>	0.91	0.0946	0.995	NA	NA	NA	TRUE	0.00134317124611529
CNV_chr16_48639306_48641126	Gp_combined	16	48639306	0.0009893	0.3133	112	0.0356801529149	3139	NA	NA	NA	7778	7433/342/3	0.02235	0.2445	-0.06562	<DEL>	0.91	0.0226	1	NA	NA	NA	TRUE	0.00225606346598496
CNV_chr3_87866542_87867741	ln_HDL_TG_combined	3	87866542	0.0002487	-0.3	153	0.0487106017192	3141	NA	NA	NA	7782	7362/416/4	0.02497	0.4419	-0.04086	<DEL>	0.91	0.0256	0.951	NA	NA	NA	TRUE	0.00111174660409812
CNV_chr7_65683444_65765963	ln_HDL_TG_combined	7	65683444	0.0005847	-0.4375	58	0.0184654568609	3141	NA	NA	NA	7782	7728/54/0	0.00681	0.4447	0.1128	<DUP>	0.52	0.0082	0.967	NA	NA	NA	TRUE	0.00240638834070626
CNV_chr7_65765019_65767090	ln_HDL_TG_combined	7	65765019	0.0009441	-0.4169	59	0.0187838268067	3141	NA	NA	NA	7782	7728/54/0	0.00775	0.4049	0.1323	<DUP>	0.4	0.0091	0.957	NA	NA	NA	TRUE	0.00339046842023553
CNV_chr7_65784681_65786910	ln_HDL_TG_combined	7	65784681	0.0003606	-0.4795	51	0.0162368672397	3141	NA	NA	NA	7782	7729/53/0	0.00654	0.3485	0.1748	<DUP>	0.33	0.0078	0.908	NA	NA	NA	TRUE	0.00125441114838291
CNV_chr7_65792512_65794650	ln_HDL_TG_combined	7	65792512	0.0001151	-0.5179	51	0.0162368672397	3141	NA	NA	NA	7782	7731/51/0	0.0072	0.4631	0.1359	<DUP>	0.31	0.0083	0.863	NA	NA	NA	TRUE	0.000577776955417546
CNV_chr9_35980777_35981976	ln_HDL_TG_combined	9	35980777	0.0008623	-0.1164	949	0.302133078637	3141	NA	NA	NA	7782	5363/2186/233	0.16965	0.7068	0.008019	<DEL>	0.99	0.1689	0.998	NA	NA	NA	TRUE	0.00512135510544604
CNV_chr9_71281673_71282718	ln_HDL_TG_combined	9	71281673	0.0004247	-0.1202	1140	0.3629417383	3141	NA	NA	NA	7782	4915/2551/316	0.1935	0.3763	-0.0191	<DUP>	0.86	0.193	0.953	NA	NA	NA	TRUE	0.00155683340036209
CNV_chr9_85403486_85405575	ln_HDL_TG_combined	9	85403486	0.0002066	0.4256	78	0.0248328557784	3141	NA	NA	NA	7782	7709/73/0	0.01038	0.1355	0.1739	<DEL>	0.45	0.0111	0.387	NA	NA	NA	TRUE	0.000321472813913404
CNV_chr12_49314928_49316780	ln_HDL_TG_combined	12	49314928	4.668e-05	-0.3238	168	0.0534861509074	3141	NA	NA	NA	7782	7225/553/4	0.02685	0.5026	-0.04327	<DEL>	0.62	0.0266	0.671	NA	NA	NA	TRUE	0.000273563196880253
CNV_chr5_27524406_27526327	ln_LDL_TG_combined	5	27524406	0.0004785	-0.2924	151	0.0480738618274	3141	NA	NA	NA	7782	7655/127/0	0.02379	0.3321	-0.08282	<DEL>	0.38	0.0239	0.362	NA	NA	NA	TRUE	0.00154892187843883
CNV_chr6_32648139_32652384	ln_LDL_TG_combined	6	32648139	0.0006812	0.09242	1565	0.498248965298	3141	NA	NA	NA	7782	2066/3835/1881	0.48603	0.6216	-0.00999	<DEL>	0.97	0.4907	0.993	NA	NA	NA	TRUE	0.00371229306240281
CNV_chr6_32653235_32658167	ln_LDL_TG_combined	6	32653235	0.0005975	0.1454	837	0.266475644699	3141	NA	NA	NA	7782	5023/2568/191	0.19749	0.5985	0.01481	<DEL>	0.61	0.1902	0.624	NA	NA	NA	TRUE	0.00319557751638269
CNV_chr6_32655735_32656863	ln_LDL_TG_combined	6	32655735	0.0007184	0.09198	1566	0.498567335244	3141	NA	NA	NA	7782	1965/3813/2004	0.49782	0.8135	-0.00477	<DEL>	0.98	0.5059	0.992	NA	NA	NA	TRUE	0.00493535108508257
CNV_chr7_65792512_65794650	ln_LDL_TG_combined	7	65792512	0.000859	-0.4473	51	0.0162368672397	3141	NA	NA	NA	7782	7731/51/0	0.0072	0.5996	0.09783	<DUP>	0.31	0.0083	0.863	NA	NA	NA	TRUE	0.00441466900420385
CNV_chr3_3009849_3013757	ln_VLDL_TG_combined	3	3009849	0.0002159	0.2774	188	0.0598535498249	3141	NA	NA	NA	7782	7399/380/3	0.02491	0.01424	-0.1298	<DEL>	0.91	0.0266	1	NA	NA	NA	TRUE	4.2096120090807e-05
CNV_chr7_65784681_65786910	ln_VLDL_TG_combined	7	65784681	0.0002613	-0.4915	51	0.0162368672397	3141	NA	NA	NA	7782	7729/53/0	0.00654	0.1713	0.2554	<DUP>	0.33	0.0078	0.908	NA	NA	NA	TRUE	0.000493002308181237
CNV_chr8_17440786_17446899	ln_VLDL_TG_combined	8	17440786	0.0001896	-0.589	41	0.013053167781	3141	NA	NA	NA	7782	7701/81/0	0.00528	0.3445	-0.1068	<DEL>	0.93	0.0049	1	NA	NA	NA	TRUE	0.000694730405319362
CNV_chr17_4660370_4662834	ln_VLDL_TG_combined	17	4660370	0.0003192	-0.6358	32	0.0101878382681	3141	NA	NA	NA	7782	7705/77/0	0.0051	0.2085	-0.1759	<DEL>	0.61	0.0047	0.249	NA	NA	NA	TRUE	0.000706629195328855
CNV_chr21_43739443_43741242	ln_VLDL_TG_combined	21	43739443	0.0001451	0.3069	156	0.0496657115568	3141	NA	NA	NA	7782	7383/396/3	0.02575	0.7607	0.01575	<DEL>	0.99	0.0258	0.99	NA	NA	NA	TRUE	0.00111609423583277
CNV_chr21_44195108_44196817	ln_VLDL_TG_combined	21	44195108	0.0004914	-0.09039	1613	0.5135307227	3141	NA	NA	NA	7782	1297/3726/2759	0.40724	0.3851	-0.01485	<DEL>	0.9	0.5876	0.245	NA	NA	NA	TRUE	0.00181148291569386
CNV_chr5_177630183_177651139	ln_IDL_TG_combined	5	177630183	0.0005019	-0.4704	56	0.017823042648	3142	NA	NA	NA	7784	7644/140/0	0.00928	0.3057	-0.09117	<DEL>	0.86	0.0084	1	NA	NA	NA	TRUE	0.00150090038022477
CNV_chr5_177634247_177654366	ln_IDL_TG_combined	5	177634247	0.0005019	-0.4704	56	0.017823042648	3142	NA	NA	NA	7784	7644/140/0	0.0093	0.327	-0.08753	<DEL>	0.85	0.0084	1	NA	NA	NA	TRUE	0.0015944228001282
CNV_chr5_177648357_177649889	ln_IDL_TG_combined	5	177648357	0.0005019	-0.4704	56	0.017823042648	3142	NA	NA	NA	7784	7647/137/0	0.00912	0.2907	-0.09759	<DEL>	0.8	0.0083	1	NA	NA	NA	TRUE	0.00143459532995935
CNV_chr5_177658419_177660733	ln_IDL_TG_combined	5	177658419	0.0003444	-0.4794	57	0.0181413112667	3142	NA	NA	NA	7784	7647/137/0	0.00921	0.2793	-0.09862	<DEL>	0.81	0.0084	0.987	NA	NA	NA	TRUE	0.000985877629382322
CNV_chr6_97965921_97968363	ln_IDL_TG_combined	6	97965921	0.0008905	0.6187	29	0.00922978994271	3142	NA	NA	NA	7784	7723/61/0	0.00404	0.1004	-0.2228	<DEL>	0.83	0.0038	1	NA	NA	NA	TRUE	0.000922879453497408
CNV_chr7_65738187_65739186	ln_IDL_TG_combined	7	65738187	0.0009536	-0.4483	50	0.0159134309357	3142	NA	NA	NA	7784	7730/54/0	0.00774	0.2374	0.1862	<DUP>	0.42	0.0091	0.87	NA	NA	NA	TRUE	0.00212649319253039
CNV_chr7_65784681_65786910	ln_IDL_TG_combined	7	65784681	0.0002261	-0.4973	51	0.0162316995544	3142	NA	NA	NA	7784	7731/53/0	0.00654	0.2114	0.2347	<DUP>	0.33	0.0078	0.908	NA	NA	NA	TRUE	0.000523313105766515
CNV_chr7_65792512_65794650	ln_IDL_TG_combined	7	65792512	0.0001426	-0.5126	51	0.0162316995544	3142	NA	NA	NA	7784	7733/51/0	0.0072	0.3269	0.1828	<DUP>	0.31	0.0083	0.863	NA	NA	NA	TRUE	0.000511543188184163
CNV_chr11_134664270_134665269	ln_IDL_TG_combined	11	134664270	0.0009701	0.8252	16	0.00509229789943	3142	NA	NA	NA	7784	7763/21/0	0.00161	0.1068	0.3705	<DUP>	0.68	0.0013	0.441	NA	NA	NA	TRUE	0.001054188515041
CNV_chr12_49314928_49316780	ln_IDL_TG_combined	12	49314928	0.0006592	-0.2711	168	0.053469127944	3142	NA	NA	NA	7784	7227/553/4	0.02684	0.8666	-0.01092	<DEL>	0.62	0.0266	0.671	NA	NA	NA	TRUE	0.00483725925429452
CNV_chr3_140803678_140805403	L_HDL_C_combined	3	140803678	0.0002478	-1.054	12	0.00381922342457	3142	NA	NA	NA	7784	7763/21/0	0.00179	0.134	-0.3915	<DEL>	0.46	0.0016	0.447	NA	NA	NA	TRUE	0.000375643921632128
CNV_chr5_81389305_81390704	L_HDL_C_combined	5	81389305	0.000265	0.4088	82	0.0260980267346	3142	NA	NA	NA	7784	7668/116/0	0.01384	0.958	0.005304	<DEL>	0.45	0.0138	0.322	NA	NA	NA	TRUE	0.002355580581709
CNV_chr11_61202903_61204938	L_HDL_C_combined	11	61202903	0.0007215	0.1775	417	0.132718014004	3142	NA	NA	NA	7784	7188/592/4	0.0629	0.2259	-0.05787	<DUP>	0.48	0.0634	0.165	NA	NA	NA	TRUE	0.00158453224653753
CNV_chr11_106915501_106918850	L_HDL_C_combined	11	106915501	0.000794	0.1154	958	0.304901336728	3142	NA	NA	NA	7784	5420/2172/192	0.16417	0.1221	-0.03381	<DEL>	1	0.1673	0.998	NA	NA	NA	TRUE	0.0009928714788856
CNV_chr12_40483869_40485084	L_HDL_C_combined	12	40483869	0.0002351	0.1495	522	0.166136218969	3142	NA	NA	NA	7784	6334/1374/76	0.09189	0.1505	-0.04676	<DUP>	0.79	0.0923	0.838	NA	NA	NA	TRUE	0.000398028629479424
CNV_chr17_4660370_4662834	L_HDL_C_combined	17	4660370	6.498e-05	0.7036	32	0.0101845957989	3142	NA	NA	NA	7784	7707/77/0	0.00509	0.05485	0.272	<DEL>	0.61	0.0047	0.249	NA	NA	NA	TRUE	4.82749701249941e-05
CNV_chr20_14800133_14806044	L_HDL_C_combined	20	14800133	0.0002099	1.024	13	0.00413749204328	3142	NA	NA	NA	7784	7766/18/0	0.00155	0.587	0.1252	<DEL>	0.71	0.0015	0.332	NA	NA	NA	TRUE	0.00123231134435457
CNV_chr21_43738825_43741042	L_HDL_C_combined	21	43738825	0.0009317	-0.3098	118	0.0375556970083	3142	NA	NA	NA	7784	7428/353/3	0.02037	0.7103	-0.02335	<DEL>	0.87	0.0206	0.798	NA	NA	NA	TRUE	0.00550643935780841
CNV_chr21_43739443_43741242	L_HDL_C_combined	21	43739443	5.289e-05	-0.3263	156	0.0496499045194	3142	NA	NA	NA	7784	7385/396/3	0.02574	0.7955	-0.01365	<DEL>	0.99	0.0258	0.99	NA	NA	NA	TRUE	0.000466014964163508
CNV_chr3_140803678_140805403	L_HDL_P_combined	3	140803678	0.0001238	-1.101	12	0.00381922342457	3142	NA	NA	NA	7784	7763/21/0	0.00179	0.1264	-0.3987	<DEL>	0.46	0.0016	0.447	NA	NA	NA	TRUE	0.000188799281024535
CNV_chr5_81389305_81390704	L_HDL_P_combined	5	81389305	0.0003965	0.3966	82	0.0260980267346	3142	NA	NA	NA	7784	7668/116/0	0.01384	0.9887	0.001426	<DEL>	0.45	0.0138	0.322	NA	NA	NA	TRUE	0.00346709885209908
CNV_chr11_106915501_106918850	L_HDL_P_combined	11	106915501	0.0009605	0.1139	958	0.304901336728	3142	NA	NA	NA	7784	5420/2172/192	0.16417	0.1144	-0.03441	<DEL>	1	0.1673	0.998	NA	NA	NA	TRUE	0.00111157039137697
CNV_chr12_40483869_40485084	L_HDL_P_combined	12	40483869	0.0007428	0.1375	522	0.166136218969	3142	NA	NA	NA	7784	6334/1374/76	0.09189	0.1041	-0.05233	<DUP>	0.79	0.0923	0.838	NA	NA	NA	TRUE	0.000809403459131339
CNV_chr17_4660370_4662834	L_HDL_P_combined	17	4660370	0.0002098	0.6515	32	0.0101845957989	3142	NA	NA	NA	7784	7707/77/0	0.00509	0.06712	0.2588	<DEL>	0.61	0.0047	0.249	NA	NA	NA	TRUE	0.000171384072467104
CNV_chr20_14800133_14806044	L_HDL_P_combined	20	14800133	0.0001759	1.034	13	0.00413749204328	3142	NA	NA	NA	7784	7766/18/0	0.00155	0.4335	0.1805	<DEL>	0.71	0.0015	0.332	NA	NA	NA	TRUE	0.000799238978024632
CNV_chr21_43739443_43741242	L_HDL_P_combined	21	43739443	0.0001199	-0.3108	156	0.0496499045194	3142	NA	NA	NA	7784	7385/396/3	0.02574	0.9029	-0.006377	<DEL>	0.99	0.0258	0.99	NA	NA	NA	TRUE	0.00109675842368807
CNV_chr4_132259600_132261866	ln_L_HDL_TG_combined	4	132259600	0.0008043	-0.08763	1602	0.50986632718	3142	NA	NA	NA	7784	2835/3656/1293	0.40101	0.3897	-0.01392	<DEL>	1	0.3921	0.997	NA	NA	NA	TRUE	0.00284220878079353
CNV_chr5_838554_840772	ln_L_HDL_TG_combined	5	838554	0.0002185	-0.2628	190	0.0604710375557	3142	NA	NA	NA	7784	7439/338/7	0.03254	0.289	0.066	<DUP>	0.49	0.0309	0.166	NA	NA	NA	TRUE	0.00067377651024497
CNV_chr6_40747360_40750209	ln_L_HDL_TG_combined	6	40747360	0.0007957	0.3917	77	0.024506683641	3142	NA	NA	NA	7784	7636/148/0	0.00951	0.1825	0.1108	<DEL>	1	0.0099	1	NA	NA	NA	TRUE	0.00142852502527493
CNV_chr8_7135538_7139087	ln_L_HDL_TG_combined	8	7135538	0.0009905	-0.1718	427	0.135900700191	3142	NA	NA	NA	7784	7325/456/3	0.06607	0.1673	0.07493	<DEL>	0.34	0.0654	0.099	NA	NA	NA	TRUE	0.00160826616311587
CNV_chr4_73399922_73404147	L_LDL_C_combined	4	73399922	4.829e-05	-0.3958	101	0.0321451304901	3142	NA	NA	NA	7784	7507/275/2	0.01746	3.332e-11	0.4741	<DEL>	0.73	0.0179	0.973	NA	NA	NA	TRUE	5.64174067547496e-14
CNV_chr12_9406660_9409005	L_LDL_C_combined	12	9406660	0.0004573	-0.1707	463	0.147358370465	3142	NA	NA	NA	7784	6609/1127/48	0.07799	0.5777	-0.01746	<DEL>	0.95	0.0799	0.986	NA	NA	NA	TRUE	0.00244074549169938
CNV_chr4_73399922_73404147	L_LDL_P_combined	4	73399922	5.811e-05	-0.3909	101	0.0321451304901	3142	NA	NA	NA	7784	7507/275/2	0.01746	2.777e-12	0.4992	<DEL>	0.73	0.0179	0.973	NA	NA	NA	TRUE	6.02929362236467e-15
CNV_chr12_9406660_9409005	L_LDL_P_combined	12	9406660	0.0002795	-0.1764	463	0.147358370465	3142	NA	NA	NA	7784	6609/1127/48	0.07799	0.7395	-0.01043	<DEL>	0.95	0.0799	0.986	NA	NA	NA	TRUE	0.00196031011867652
CNV_chr6_32648139_32652384	ln_L_LDL_TG_combined	6	32648139	0.0005601	0.09388	1566	0.498408656906	3142	NA	NA	NA	7784	2066/3836/1882	0.4861	0.5579	-0.01274	<DEL>	0.97	0.4907	0.993	NA	NA	NA	TRUE	0.00283449503908061
CNV_chr6_32653235_32658167	ln_L_LDL_TG_combined	6	32653235	0.0005681	0.146	838	0.266709102482	3142	NA	NA	NA	7784	5025/2568/191	0.19747	0.597	0.01537	<DEL>	0.61	0.1902	0.624	NA	NA	NA	TRUE	0.00304868797377466
CNV_chr6_32655735_32656863	ln_L_LDL_TG_combined	6	32655735	0.0005619	0.09381	1567	0.498726925525	3142	NA	NA	NA	7784	1965/3814/2005	0.49776	0.7527	-0.006869	<DEL>	0.98	0.5059	0.992	NA	NA	NA	TRUE	0.00370847298815559
CNV_chr6_32663847_32664946	ln_L_LDL_TG_combined	6	32663847	0.0009684	0.1412	798	0.253978357734	3142	NA	NA	NA	7784	5064/2509/211	0.1972	0.8957	0.003763	<DEL>	0.64	0.1926	0.315	NA	NA	NA	TRUE	0.00698254991120843
CNV_chr7_65792512_65794650	ln_L_LDL_TG_combined	7	65792512	0.0008323	-0.4487	51	0.0162316995544	3142	NA	NA	NA	7784	7733/51/0	0.0072	0.514	0.1222	<DUP>	0.31	0.0083	0.863	NA	NA	NA	TRUE	0.00374619953196579
CNV_chr3_3009849_3013757	L_VLDL_C_combined	3	3009849	0.0008347	0.2508	188	0.0598345003183	3142	NA	NA	NA	7784	7401/380/3	0.0249	0.0613	-0.09895	<DEL>	0.91	0.0266	1	NA	NA	NA	TRUE	0.000556719320291753
CNV_chr7_65784681_65786910	L_VLDL_C_combined	7	65784681	0.0002532	-0.493	51	0.0162316995544	3142	NA	NA	NA	7784	7731/53/0	0.00654	0.3081	0.1894	<DUP>	0.33	0.0078	0.908	NA	NA	NA	TRUE	0.000815889824389966
CNV_chr7_65792512_65794650	L_VLDL_C_combined	7	65792512	0.0009797	-0.444	51	0.0162316995544	3142	NA	NA	NA	7784	7733/51/0	0.0072	0.3659	0.1669	<DUP>	0.31	0.0083	0.863	NA	NA	NA	TRUE	0.00320246879376108
CNV_chr8_17440786_17446899	L_VLDL_C_combined	8	17440786	0.0002934	-0.5718	41	0.0130490133673	3142	NA	NA	NA	7784	7703/81/0	0.00528	0.7291	-0.03903	<DEL>	0.93	0.0049	1	NA	NA	NA	TRUE	0.00202150700764979
CNV_chr9_35980777_35981976	L_VLDL_C_combined	9	35980777	0.0002895	-0.127	950	0.302355187778	3142	NA	NA	NA	7784	5365/2186/233	0.1696	0.666	-0.009175	<DEL>	0.99	0.1689	0.998	NA	NA	NA	TRUE	0.00184204354036505
CNV_chr19_9018027_9021387	L_VLDL_C_combined	19	9018027	0.0009417	-0.244	197	0.0626989178867	3142	NA	NA	NA	7784	7279/494/11	0.03345	0.8202	0.01074	<DUP>	0.95	0.0311	0.961	NA	NA	NA	TRUE	0.00630729803302012
CNV_chr21_44195108_44196817	L_VLDL_C_combined	21	44195108	0.0003466	-0.09269	1614	0.513685550605	3142	NA	NA	NA	7784	1297/3726/2761	0.40715	0.5054	-0.01132	<DEL>	0.9	0.5876	0.245	NA	NA	NA	TRUE	0.00169036152842999
CNV_chr3_3009849_3013757	L_VLDL_P_combined	3	3009849	0.000642	0.2563	188	0.0598345003183	3142	NA	NA	NA	7784	7401/380/3	0.0249	0.03475	-0.1114	<DEL>	0.91	0.0266	1	NA	NA	NA	TRUE	0.00026125535426641
CNV_chr7_65784681_65786910	L_VLDL_P_combined	7	65784681	0.0001954	-0.5019	51	0.0162316995544	3142	NA	NA	NA	7784	7731/53/0	0.00654	0.2374	0.2203	<DUP>	0.33	0.0078	0.908	NA	NA	NA	TRUE	0.000509268855757318
CNV_chr7_65792512_65794650	L_VLDL_P_combined	7	65792512	0.0005153	-0.4678	51	0.0162316995544	3142	NA	NA	NA	7784	7733/51/0	0.0072	0.2432	0.2165	<DUP>	0.31	0.0083	0.863	NA	NA	NA	TRUE	0.00125128372156525
CNV_chr8_17440786_17446899	L_VLDL_P_combined	8	17440786	0.0001207	-0.6072	41	0.0130490133673	3142	NA	NA	NA	7784	7703/81/0	0.00528	0.8196	-0.02569	<DEL>	0.93	0.0049	1	NA	NA	NA	TRUE	0.00101113376158013
CNV_chr9_35980777_35981976	L_VLDL_P_combined	9	35980777	0.0008511	-0.1169	950	0.302355187778	3142	NA	NA	NA	7784	5365/2186/233	0.1696	0.9305	-0.001862	<DEL>	0.99	0.1689	0.998	NA	NA	NA	TRUE	0.0064472643360849
CNV_chr17_4660370_4662834	L_VLDL_P_combined	17	4660370	0.0003961	-0.6254	32	0.0101845957989	3142	NA	NA	NA	7784	7707/77/0	0.00509	0.1651	-0.1935	<DEL>	0.61	0.0047	0.249	NA	NA	NA	TRUE	0.000695490754567197
CNV_chr3_3009849_3013757	ln_L_VLDL_TG_combined	3	3009849	0.0002924	0.2718	188	0.0598345003183	3142	NA	NA	NA	7784	7401/380/3	0.0249	0.02391	-0.119	<DEL>	0.91	0.0266	1	NA	NA	NA	TRUE	8.99837419966125e-05
CNV_chr6_154298829_154300378	ln_L_VLDL_TG_combined	6	154298829	0.000787	0.09288	1512	0.481222151496	3142	NA	NA	NA	7784	3892/3231/661	0.29239	0.3835	-0.01507	<DEL>	1	0.2898	0.993	NA	NA	NA	TRUE	0.00274823167927895
CNV_chr7_65784681_65786910	ln_L_VLDL_TG_combined	7	65784681	0.000899	-0.4471	51	0.0162316995544	3142	NA	NA	NA	7784	7731/53/0	0.00654	0.16	0.2617	<DUP>	0.33	0.0078	0.908	NA	NA	NA	TRUE	0.00141636500472474
CNV_chr8_17440786_17446899	ln_L_VLDL_TG_combined	8	17440786	0.0001075	-0.6115	41	0.0130490133673	3142	NA	NA	NA	7784	7703/81/0	0.00528	0.6574	-0.04989	<DEL>	0.93	0.0049	1	NA	NA	NA	TRUE	0.000746102554871424
CNV_chr17_4660370_4662834	ln_L_VLDL_TG_combined	17	4660370	0.0001785	-0.6624	32	0.0101845957989	3142	NA	NA	NA	7784	7707/77/0	0.00509	0.3249	-0.1371	<DEL>	0.61	0.0047	0.249	NA	NA	NA	TRUE	0.000623741727892103
CNV_chr19_9018027_9021387	ln_L_VLDL_TG_combined	19	9018027	0.0002647	-0.2688	197	0.0626989178867	3142	NA	NA	NA	7784	7279/494/11	0.03345	0.6197	0.02382	<DUP>	0.95	0.0311	0.961	NA	NA	NA	TRUE	0.00159366710782592
CNV_chr5_80713894_80716207	M_HDL_C_combined	5	80713894	2.901e-05	-0.9869	18	0.00572883513686	3142	NA	NA	NA	7784	7738/46/0	0.00288	0.3206	-0.1523	<DEL>	0.94	0.0029	0.952	NA	NA	NA	TRUE	0.000117052135058515
CNV_chr11_57874243_57882964	M_HDL_C_combined	11	57874243	1.792e-05	-1.201	13	0.00413749204328	3142	NA	NA	NA	7784	7760/24/0	0.00172	0.3751	0.1872	<DEL>	0.83	0.0015	1	NA	NA	NA	TRUE	8.67793817890792e-05
CNV_chr14_50359172_50360555	M_HDL_C_combined	14	50359172	0.0004028	0.8111	19	0.00604710375557	3142	NA	NA	NA	7784	7716/68/0	0.00402	0.5657	-0.07651	<DEL>	0.9	0.0043	0.966	NA	NA	NA	TRUE	0.00213890470934396
CNV_chr16_74265473_74266572	M_HDL_C_combined	16	74265473	0.0003618	-0.9512	14	0.004455760662	3142	NA	NA	NA	7784	7761/23/0	0.00177	0.005147	0.6786	<DEL>	0.62	0.0019	0.522	NA	NA	NA	TRUE	2.64314017411927e-05
CNV_chr5_80713894_80716207	M_HDL_P_combined	5	80713894	1.919e-05	-1.009	18	0.00572883513686	3142	NA	NA	NA	7784	7738/46/0	0.00288	0.162	-0.2143	<DEL>	0.94	0.0029	0.952	NA	NA	NA	TRUE	4.25320902343357e-05
CNV_chr7_142520322_142523597	M_HDL_P_combined	7	142520322	0.0006202	0.5878	34	0.0108211330363	3142	NA	NA	NA	7784	0/27/7757	0.00546	0.08024	-0.3141	<DUP>	0.35	0.9944	0.198	NA	NA	NA	TRUE	0.000542844998888306
CNV_chr11_57874243_57882964	M_HDL_P_combined	11	57874243	2.573e-05	-1.178	13	0.00413749204328	3142	NA	NA	NA	7784	7760/24/0	0.00172	0.3203	0.2099	<DEL>	0.83	0.0015	1	NA	NA	NA	TRUE	0.000104717084945123
CNV_chr14_50359172_50360555	M_HDL_P_combined	14	50359172	0.0005596	0.7917	19	0.00604710375557	3142	NA	NA	NA	7784	7716/68/0	0.00402	0.8223	-0.02994	<DEL>	0.9	0.0043	0.966	NA	NA	NA	TRUE	0.0039959930599071
CNV_chr16_74265473_74266572	M_HDL_P_combined	16	74265473	7.539e-05	-1.057	14	0.004455760662	3142	NA	NA	NA	7784	7761/23/0	0.00177	0.0165	0.5819	<DEL>	0.62	0.0019	0.522	NA	NA	NA	TRUE	1.81580063148724e-05
CNV_chr7_65784681_65786910	ln_M_HDL_TG_combined	7	65784681	0.0003101	-0.4851	51	0.0162316995544	3142	NA	NA	NA	7784	7731/53/0	0.00654	0.6345	0.08873	<DUP>	0.33	0.0078	0.908	NA	NA	NA	TRUE	0.0018758033184951
CNV_chr9_71281673_71282718	ln_M_HDL_TG_combined	9	71281673	0.0002213	-0.1261	1140	0.362826225334	3142	NA	NA	NA	7784	4916/2552/316	0.19352	0.893	-0.002905	<DUP>	0.86	0.193	0.953	NA	NA	NA	TRUE	0.00188316117722514
